Reg.,Data,Hora,kW,kvarIND,kvarCAP,SH,SR,FPot.,DCR,UFER
8631,2018-07-18,00:00:00,8,7,0,F,L,78 L,10,1
8634,2018-07-18,00:15:00,8,7,0,F,C,78 L,,
8637,2018-07-18,00:30:00,8,7,0,F,C,78 L,,
8640,2018-07-18,00:45:00,5,5,0,F,C,71 L,,
8643,2018-07-18,01:00:00,5,7,0,F,C,60 L,,
3,2018-07-18,01:15:00,7,8,0,F,C,62 L,,
6,2018-07-18,01:30:00,7,7,0,F,C,71 L,,
9,2018-07-18,01:45:00,7,7,0,F,C,71 L,,
12,2018-07-18,02:00:00,5,7,0,F,C,60 L,,
15,2018-07-18,02:15:00,7,7,0,F,C,71 L,,
18,2018-07-18,02:30:00,7,7,0,F,C,71 L,,
21,2018-07-18,02:45:00,7,8,0,F,C,62 L,,
24,2018-07-18,03:00:00,5,7,0,F,C,60 L,,
27,2018-07-18,03:15:00,7,7,0,F,C,71 L,,
30,2018-07-18,03:30:00,7,8,0,F,C,62 L,,
33,2018-07-18,03:45:00,5,7,0,F,C,60 L,,
36,2018-07-18,04:00:00,7,8,0,F,C,62 L,,
39,2018-07-18,04:15:00,5,7,0,F,C,60 L,,
42,2018-07-18,04:30:00,7,7,0,F,C,71 L,,
45,2018-07-18,04:45:00,7,8,0,F,C,62 L,,
48,2018-07-18,05:00:00,7,7,0,F,C,71 L,,
51,2018-07-18,05:15:00,5,8,0,F,C,51 L,,
54,2018-07-18,05:30:00,7,7,0,F,C,71 L,,
57,2018-07-18,05:45:00,5,7,0,F,C,60 L,,
60,2018-07-18,06:00:00,7,7,0,F,C,71 L,,
63,2018-07-18,06:15:00,7,7,0,F,L,71 L,,
66,2018-07-18,06:30:00,5,5,0,F,L,71 L,,
69,2018-07-18,06:45:00,5,8,0,F,L,51 L,,
72,2018-07-18,07:00:00,5,7,0,F,L,60 L,8,3
75,2018-07-18,07:15:00,7,7,0,F,L,71 L,,
78,2018-07-18,07:30:00,7,7,0,F,L,71 L,,
81,2018-07-18,07:45:00,7,5,0,F,L,80 L,,
84,2018-07-18,08:00:00,8,7,0,F,L,78 L,9,2
87,2018-07-18,08:15:00,8,7,0,F,L,78 L,,
90,2018-07-18,08:30:00,10,7,0,F,L,83 L,,
93,2018-07-18,08:45:00,10,5,0,F,L,89 L,,
96,2018-07-18,09:00:00,10,5,0,F,L,89 L,10,1
99,2018-07-18,09:15:00,8,7,0,F,L,78 L,,
102,2018-07-18,09:30:00,12,7,0,F,L,87 L,,
105,2018-07-18,09:45:00,10,7,0,F,L,83 L,,
108,2018-07-18,10:00:00,10,5,0,F,L,89 L,11,1
111,2018-07-18,10:15:00,12,5,0,F,L,92 L,,
114,2018-07-18,10:30:00,10,7,0,F,L,83 L,,
117,2018-07-18,10:45:00,10,5,0,F,L,89 L,,
120,2018-07-18,11:00:00,10,5,0,F,L,89 L,11,0
123,2018-07-18,11:15:00,13,5,0,F,L,94 L,,
126,2018-07-18,11:30:00,12,5,0,F,L,92 L,,
129,2018-07-18,11:45:00,13,7,0,F,L,89 L,,
132,2018-07-18,12:00:00,13,5,0,F,L,94 L,,
135,2018-07-18,12:15:00,12,7,0,F,L,87 L,,
138,2018-07-18,12:30:00,10,5,0,F,L,89 L,,
141,2018-07-18,12:45:00,12,7,0,F,L,87 L,,
144,2018-07-18,13:00:00,10,7,0,F,L,83 L,12,1
147,2018-07-18,13:15:00,13,7,0,F,L,89 L,,
150,2018-07-18,13:30:00,13,7,0,F,L,89 L,,
153,2018-07-18,13:45:00,13,7,0,F,L,89 L,,
156,2018-07-18,14:00:00,15,8,0,F,L,87 L,14,0
159,2018-07-18,14:15:00,15,5,0,F,L,95 L,,
162,2018-07-18,14:30:00,13,7,0,F,L,89 L,,
165,2018-07-18,14:45:00,12,3,0,F,L,96 L,,
168,2018-07-18,15:00:00,13,5,0,F,L,94 L,,
171,2018-07-18,15:15:00,12,7,0,F,L,87 L,,
174,2018-07-18,15:30:00,13,5,0,F,L,94 L,,
177,2018-07-18,15:45:00,13,5,0,F,L,94 L,,
180,2018-07-18,16:00:00,13,7,0,F,L,89 L,13,0
183,2018-07-18,16:15:00,13,7,0,F,L,89 L,,
186,2018-07-18,16:30:00,15,7,0,F,L,91 L,,
189,2018-07-18,16:45:00,12,5,0,F,L,92 L,,
192,2018-07-18,17:00:00,13,8,0,F,L,85 L,14,0
195,2018-07-18,17:15:00,15,7,0,F,L,91 L,,
198,2018-07-18,17:30:00,15,7,0,F,L,91 L,,
201,2018-07-18,17:45:00,15,7,0,F,L,91 L,,
204,2018-07-18,18:00:00,12,8,0,F,L,81 L,15,0
207,2018-07-18,18:15:00,2,3,0,P,L,45 L,,
210,2018-07-18,18:30:00,0,2,0,P,L,0 L,,
213,2018-07-18,18:45:00,2,3,0,P,L,45 L,,
216,2018-07-18,19:00:00,0,3,0,P,L,0 L,3,2
219,2018-07-18,19:15:00,2,3,0,P,L,45 L,,
222,2018-07-18,19:30:00,0,5,0,P,L,0 L,,
225,2018-07-18,19:45:00,2,3,0,P,L,45 L,,
228,2018-07-18,20:00:00,0,2,0,P,L,0 L,3,2
231,2018-07-18,20:15:00,2,3,0,P,L,45 L,,
234,2018-07-18,20:30:00,0,3,0,P,L,0 L,,
237,2018-07-18,20:45:00,2,2,0,P,L,71 L,,
240,2018-07-18,21:00:00,0,3,0,P,L,0 L,3,2
243,2018-07-18,21:15:00,2,2,0,F,L,71 L,,
246,2018-07-18,21:30:00,2,3,0,F,L,45 L,,
249,2018-07-18,21:45:00,12,7,0,F,L,87 L,,
252,2018-07-18,22:00:00,8,7,0,F,L,78 L,7,1
255,2018-07-18,22:15:00,10,5,0,F,L,89 L,,
258,2018-07-18,22:30:00,8,7,0,F,L,78 L,,
261,2018-07-18,22:45:00,8,7,0,F,L,78 L,,
264,2018-07-18,23:00:00,8,7,0,F,L,78 L,10,1
267,2018-07-18,23:15:00,8,7,0,F,L,78 L,,
270,2018-07-18,23:30:00,8,7,0,F,L,78 L,,
273,2018-07-18,23:45:00,8,7,0,F,L,78 L,,
276,2018-07-19,00:00:00,8,7,0,F,L,78 L,10,1
279,2018-07-19,00:15:00,8,7,0,F,C,78 L,,
282,2018-07-19,00:30:00,8,7,0,F,C,78 L,,
285,2018-07-19,00:45:00,5,5,0,F,C,71 L,,
288,2018-07-19,01:00:00,5,7,0,F,C,60 L,,
291,2018-07-19,01:15:00,7,7,0,F,C,71 L,,
294,2018-07-19,01:30:00,5,7,0,F,C,60 L,,
297,2018-07-19,01:45:00,3,5,0,F,C,55 L,,
300,2018-07-19,02:00:00,5,7,0,F,C,60 L,,
303,2018-07-19,02:15:00,5,7,0,F,C,60 L,,
306,2018-07-19,02:30:00,3,8,0,F,C,37 L,,
309,2018-07-19,02:45:00,5,7,0,F,C,60 L,,
312,2018-07-19,03:00:00,5,7,0,F,C,60 L,,
